canon_sku,base_sku,name_raw,slug_suggestion,categories_raw,description_raw,price_usd,sale_price_usd,Currency,Track Inventory,qty_base,Backorder,realm,variant_model,sku_count,image_url_base
BLC-SWN-WHS-GLS,BLC-SWN-WHS-GLS,The Black Swan – Noir Whiskey Tumbler Set,black-swan-whiskey-glass-set-of-4,,"Rare. Elegant. Dangerous. Sip your spirits from a vessel as mysterious as the night itself. The Black Swan Tumbler Set transforms the ritual of a nightcap into an act of dark devotion. Crafted from sleek, high-gloss black glass, these heavy-bottomed tumblers offer a tactile experience that traditional clear glass simply cannot match. They are designed for the serious connosieur who understands that visual deprivation heightens the sense of taste. Whether you are pouring a single malt, a smoky mezcal, or a midnight negroni, the drink remains a secret until it touches your lips. Why They Belong on Your Bar Cart: The Noir Aesthetic: A bold departure from standard crystal, these glasses turn your bar cart into a statement of gothic luxury. Heavyweight Feel: Substantial in the hand, with a thick base that keeps your drink grounded. The Element of Mystery: The opaque/smoked finish obscures the liquid, making every sip a surprise. Set of Four: Perfect for hosting a small, intimate gathering of like-minded souls. The Details: Set Includes: 4 Whiskey Tumblers Capacity: Standard Double Old Fashioned size Material: Black Tinted Glass Care: Hand Wash Recommended to maintain the high-gloss finish.",50.0,,USD,True,2,False,house,none,1,https://img1.wsimg.com/isteam/ip/021f10ea-1ee0-4cd6-9752-37761b8edd13/ols/assets_task_01k5qnjn0pfk59dh6a3apfzgaj_175850.webp;https://img1.wsimg.com/isteam/ip/021f10ea-1ee0-4cd6-9752-37761b8edd13/ols/BlackSwanOfWhiskeyGlassSetof4_img2.webp;https://img1.wsimg.com/isteam/ip/021f10ea-1ee0-4cd6-9752-37761b8edd13/ols/BlackSwanOfWhiskeyGlassSetof4_img1.webp;https://img1.wsimg.com/isteam/ip/021f10ea-1ee0-4cd6-9752-37761b8edd13/ols/BlackSwanOfWhiskeyGlassSetof4_img3.webp;https://img1.wsimg.com/isteam/ip/021f10ea-1ee0-4cd6-9752-37761b8edd13/ols/assets_task_01k5qnjn0pfk59dh6a3apfzgaj_175850.webp
BLC-WD-BRD-SML,BLC-WD-BRD-SML,The Midnight Plank – Small Black Wood Ritual & Serving Board,black-wood-board-small,,"A Foundation for Feasts and Spells. Simple, stark, and beautifully functional, The Midnight Plank is a versatile essential for the dark aesthetic home. Crafted from solid wood and finished in a deep, matte charcoal black, it provides a striking contrast for whatever you place upon it. Use it as a personal charcuterie board for a solo feast of cheese and dark chocolate, or repurpose it as a portable altar tile for arranging crystals, tarot cards, and candles. The squared handle adds a modern geometric touch, making it easy to carry from kitchen to coffee table to sacred space. Why It Belongs in Your Home: The Perfect Contrast: Food, crystals, and jewelry pop vividly against the matte black wood grain. Compact & Portable: Sized for intimate gatherings or small altar setups. Modern Design: The square handle and clean lines fit seamlessly into both minimalist and maximalist gothic decor. Multi-Use: Safe for dry food serving, perfect for display. The Details: Material: Solid Wood with Matte Black Finish Size: Small (Ideal for 1-2 person serving or altar base) Care: Wipe clean with a damp cloth. Do not soak.",34.0,,USD,True,4,False,house,none,1,https://img1.wsimg.com/isteam/ip/1d844c65-5bb5-4df4-9d7f-7c6f6d7d8f89/file-4ab3f0e.png
BRS-AND-GLS-SP,BRS-AND-GLS-SP,The Gilded Claw-Foot Vanity Dish – Vintage Brass & Glass,brass-and-glass-soap-dish,,"A Vessel for Your Daily Rituals. Elevate the mundane to the magical with The Gilded Claw-Foot Vanity Dish . Inspired by the opulence of 19th-century English estates, this heavy glass vessel rests upon four ornate brass legs, raising your treasures off the surface and into the light. While designed to hold a fine bar of soap, its uses in a gothic home are endless. The deep glass basin, framed by an intricate brass gallery rail, is perfect for holding your daily jewelry, a bundle of sage, or a collection of charged crystals on your altar. Why It Belongs in Your Sanctuary: Victorian Detail: Features distinct brass claw-and-scroll feet and a decorative rim that feels authentically antique. Versatile Utility: Use it in the bath for soap, on the vanity for rings, or on a desk for business cards and keys. Elevated Design: The raised feet protect your surfaces and add a sense of grandeur to even small items. Timeless Materials: Crafted from thick glass and aged brass that will only look better with time. The Details: Material: Glass & Antiqued Brass Style: Victorian / Baroque Origin: Imported",22.0,,USD,True,2,False,house,none,1,https://img1.wsimg.com/isteam/ip/021f10ea-1ee0-4cd6-9752-37761b8edd13/ols/VINTAG~1.PNG
CLM-CRY-CND-WTH,CLM-CRY-CND-WTH,The Amethyst Spire – Calming Ritual Candle with Hidden Crystal,calming-crystal-candle-with-rough-amethyst,,"Ignite the Peace Within. Silence the noise of the outside world with The Amethyst Spire . Shaped like a raw quartz point and cast in a deep, mystical purple, this candle is a physical anchor for rituals of tranquility and intuition. As the unscented violet wax melts away over 30 hours, it slowly unveils a rough Amethyst crystal buried at the base. Amethyst is the stone of the Third Eye, celebrated for its ability to soothe anxiety, promote restful sleep, and heighten psychic awareness. Burn it during meditation or before bed to set a tone of serenity, then keep the unearthed stone as a permanent reminder of your inner calm. Why It Belongs on Your Altar: Magic in Motion: Watch the candle transform from a wax tower into a lasting crystal artifact. Third Eye Activation: The purple hue and Amethyst stone align perfectly with intuition and dream work. A Gift of Serenity: The perfect offering for the stressed witch or the dreamer in your life. Pure & Clean: Unscented wax allows you to focus on your intent without distraction. The Details: Shape: Purple Crystal Point Hidden Stone: Rough Amethyst Burn Time: Approx. 30 Hours Material: Unscented Paraffin Wax Dimensions: Approx. 5.5"" Tall",15.0,,USD,True,2,False,house,none,1,https://img1.wsimg.com/isteam/ip/021f10ea-1ee0-4cd6-9752-37761b8edd13/ols/Calming%20Purple_img1.jpeg;https://img1.wsimg.com/isteam/ip/021f10ea-1ee0-4cd6-9752-37761b8edd13/ols/Calming%20Purple_img6.jpeg;https://img1.wsimg.com/isteam/ip/021f10ea-1ee0-4cd6-9752-37761b8edd13/ols/Calming%20Purple_img3.jpeg;https://img1.wsimg.com/isteam/ip/021f10ea-1ee0-4cd6-9752-37761b8edd13/ols/Calming%20Purple_img2.jpeg;https://img1.wsimg.com/isteam/ip/021f10ea-1ee0-4cd6-9752-37761b8edd13/ols/Calming%20Purple_img4.jpeg;https://img1.wsimg.com/isteam/ip/021f10ea-1ee0-4cd6-9752-37761b8edd13/ols/Calming%20Purple_img5.jpeg
CLP-PTH-MN-PHS,CLP-PTH-MN-PHS,Eclipse Path Moon Phase Necklace,eclipse-path-moon-phase-necklace,,"🖤 Product Description Two chains. One rhythm. No effort required. The Eclipse Path Moon Phase Necklace pairs a sculptural moon phase bar with a contrasting black enamel chain, creating a built-in layered look that moves effortlessly from day to night. Designed for real life, this piece is crafted with gold stainless steel—lightweight, durable, and resistant to tarnish. It’s made to be worn constantly: in the shower, at the gym, and through long days without losing its edge or its finish. The moon phases mark transformation, patience, and continuity—an unbroken path through change. This necklace is meant to follow you through all of it. ✨ Details Double-layer necklace with fixed pairing Moon phase bar charm Adjustable length: 14–18” Gold stainless steel chain Black enamel chain Gold-plated charm 14kt gold-filled & stainless steel findings Anti-tarnish, water-resistant, and lightweight 🕯️ Hand-assembled in Boston, MA",26.99,,USD,True,2,False,house,none,1,https://img1.wsimg.com/isteam/ip/021f10ea-1ee0-4cd6-9752-37761b8edd13/ols/1000019103.jpg;https://img1.wsimg.com/isteam/ip/021f10ea-1ee0-4cd6-9752-37761b8edd13/ols/1000018632.jpg
CRP-NUN-GLS-RNM,CRP-NUN-GLS-RNM,The Unholy Sister – Gothic Horror Nun Glass Ornament,creepy-nun-glass-ornament,,"Pray She Doesn't Look Back. Summon a chill to your holiday décor with The Unholy Sister . A tribute to classic supernatural horror, this glass ornament captures the terrifying visage of a possessed nun, frozen in a silent scream. Don't let the beauty of the glass fool you. With piercing yellow eyes, a gaping mouth, and a habit lined in silver glitter, she brings a perfect touch of blasphemous beauty to your tree. A black textured cross hangs around her neck—though it offers no protection here. Hand-blown using Old World European traditions, this piece blends the elegance of fine glass art with the nightmare fuel of modern horror. It is the ultimate statement piece for horror collectors and those who prefer their holidays haunted. Why She Belongs in Your Collection: Pure Horror Aesthetic: Captures the shocking details of supernatural horror icons. Exquisite Craftsmanship: Hand-blown glass with hand-painted details, proving that nightmares can be beautiful. Standout Size: At nearly 5 inches tall, she commands attention on any branch. Gift-Ready: Arrives in a vintage-themed gift box, perfect for the horror movie fanatic in your coven. The Details: Dimensions: 4.84"" (H) x 3.50"" (L) x 2.09"" (W) Material: Glass, glitter, fabric cord Origin: Ships from the USA",15.0,,USD,True,1,False,house,none,1,https://img1.wsimg.com/isteam/ip/021f10ea-1ee0-4cd6-9752-37761b8edd13/ols/Scary%20glass%20nun%20ornament%20with%20yellow%20eyes%20and%20.png;https://img1.wsimg.com/isteam/ip/021f10ea-1ee0-4cd6-9752-37761b8edd13/ols/Gothic%20flat%20lay%20featuring%20the%20creepy%20glass%20nun.png
CRS-VLV-4-PC,CRS-VLV-4-PC,The Crushed Velvet Sanctuary Comforter Set – 4-Piece Gothic Bedding,crushed-velvet-4-piece-comforter-set,,"Wrap Yourself in Shadows and Softness. Create a bedroom fit for royalty with The Crushed Velvet Sanctuary Set . While standard bedding simply covers a mattress, this set drapes your bed in rich, multidimensional texture that catches the candlelight and instantly warms the room. The ""crushed"" velvet technique creates a lustrous, shifting surface that looks different from every angle—shimmering in the light and deepening in the shadows. Paired with a diamond-quilted top, it offers a heavy, luxurious look without the heavy weight. Choose Your Aesthetic: 🖤 Midnight Black: For the ultimate dark sanctuary. Absorbs the light and sets a mood of deep mystery. 🥀 Victorian Rose (Blush): A dusty, romantic pink that evokes the feeling of a haunted boudoir or a vintage romance novel. Why It Belongs in Your Lair: Sensory Experience: The texture is incredibly soft to the touch, providing immediate comfort. Warmth Without Weight: Filled with hypoallergenic down-alternative that provides exceptional warmth while remaining breathable. The Complete Look: This 4-piece set includes the comforter, two matching shams, and a decorative accent pillow for instant styling. Effortless Care: The crushed texture naturally hides wrinkles, keeping your bed looking perfectly unmade or made. The Details: Set Includes: 1 Comforter (with filling), 2 Pillow Shams, 1 Decorative Pillow. Material: 100% Polyester Crushed Velvet Face / Microfiber Reverse. Care: Machine washable for easy maintenance.",150.0,,USD,True,0,False,house,two_dim,5,https://img1.wsimg.com/isteam/ip/021f10ea-1ee0-4cd6-9752-37761b8edd13/ols/Black%20crushed%20velvet%20comforter%20set%20with%20a%20diam.png;https://img1.wsimg.com/isteam/ip/021f10ea-1ee0-4cd6-9752-37761b8edd13/assets_task_01k5qkw05we3m8rxkx4at80pw8_175850.webp;https://img1.wsimg.com/isteam/ip/021f10ea-1ee0-4cd6-9752-37761b8edd13/ols/Crushed%20Velvet%204-Piece%20Comforter%20or%20D-c9a788e.webp;https://img1.wsimg.com/isteam/ip/021f10ea-1ee0-4cd6-9752-37761b8edd13/ols/Victorian%20Rose%20pink%20crushed%20velvet%204-piece%20com.png
FRN-GLS-RNM,FRN-GLS-RNM,Frankenstein's Holiday – Glass & Glitter Gothic Ornament,frankenstein-glass-ornament,,"It's Alive... with Holiday Spirit. Bring a touch of classic horror to your yuletide celebrations with our Frankenstein’s Holiday Glass Ornament . This isn't your average bauble; it's a statement piece for those who celebrate a darker kind of Christmas. This handmade glass bust captures the iconic monster in a festive red and white Santa hat. His signature metallic green skin is contrasted by a sharp black blazer with sparkling glitter lapels, ensuring he catches the light from every angle on your tree. Whether you're building a complete ""Gothmas"" theme or just want one standout piece of alternative decor, Frankenstein is ready to join the party. Why It Belongs on Your Tree: Gothic Holiday Essential: The perfect blend of spooky and festive for alternative decor lovers. Stunning Details: Features a metallic glass finish, real neck bolts, and a glitter-dusted jacket. Handmade Quality: Crafted from glass for a premium feel that lasts year after year. Versatile Display: Looks incredible on a traditional tree, a black tinsel tree, or hanging from a garland on your mantle. The Details: Material: Glass, glitter, fabric hat Hanging Method: Gold string loop included Care: Handle with care and store in a cool, dry place.",15.0,,USD,True,2,False,house,none,1,https://img1.wsimg.com/isteam/ip/021f10ea-1ee0-4cd6-9752-37761b8edd13/ols/Gothic%20holiday%20flat%20lay%20on%20black%20velvet%20featur.png;https://img1.wsimg.com/isteam/ip/021f10ea-1ee0-4cd6-9752-37761b8edd13/ols/Studio%20close-up%20of%20green%20glass%20Frankenstein%20bu.png;https://img1.wsimg.com/isteam/ip/021f10ea-1ee0-4cd6-9752-37761b8edd13/ols/Frankenstein%20monster%20glass%20ornament%20with%20Santa.png
GTH-HLL-BLC-SPD,GTH-HLL-BLC-SPD,The Weaver’s Teacup – Thorny Handle Ceramic Mug,gothic-halloween-black-spider-teacup,,"Sip Your Venom in Style. Embrace the elegance of the arachnid with The Weaver’s Teacup . This isn't your grandmother's fine China—unless your grandmother was a hedge witch. Cast in midnight-black ceramic, this vessel features a handle sculpted to resemble a twisted, thorny vine, reminding you that beauty often has a bite. A delicate spider accent creeps along the side, keeping watch over your morning brew or evening elixir. With a generous 400ml capacity, it holds enough tea (or coffee) to keep you weaving your webs all day long. Why It Belongs in Your Cupboard: Tactile Design: The sculpted ""thorny"" handle offers a unique grip that feels satisfyingly dangerous. The Weaver's Symbol: The spider represents creativity, patience, and destiny—perfect energy for your morning routine. Dark Elegance: A stunning addition to any gothic tea party, book club, or solo ritual. Generous Size: Holds 400ml (approx. 13.5 oz), bridging the gap between a dainty teacup and a substantial mug. The Details: Capacity: 400ml Material: Black Glazed Ceramic Care: Hand Wash Only (To protect the delicate handle and print). Do not microwave.",12.0,,USD,True,4,False,house,none,1,https://img1.wsimg.com/isteam/ip/021f10ea-1ee0-4cd6-9752-37761b8edd13/ols/Halloween%20Spider%20teacup_img1.jpeg;https://img1.wsimg.com/isteam/ip/021f10ea-1ee0-4cd6-9752-37761b8edd13/ols/Halloween%20Spider%20teacup_img5.jpeg;https://img1.wsimg.com/isteam/ip/021f10ea-1ee0-4cd6-9752-37761b8edd13/ols/Halloween%20Spider%20Teacup_img3.webp;https://img1.wsimg.com/isteam/ip/021f10ea-1ee0-4cd6-9752-37761b8edd13/ols/Halloween%20Spider%20Teacup_img2.webp;https://img1.wsimg.com/isteam/ip/021f10ea-1ee0-4cd6-9752-37761b8edd13/ols/Halloween%20Spider%20Teacup_img4.webp;https://img1.wsimg.com/isteam/ip/021f10ea-1ee0-4cd6-9752-37761b8edd13/ols/Halloween%20Spider%20teacup_img6.jpeg
GTH-STR-BAT-WNG,GTH-STR-BAT-WNG,The Midnight Striped Bat Wing Teacup – Gothic Statement Mug (490ml),gothic-striped-bat-wing-halloween-teacup,,"Sip in gothic style with the Midnight Striped Bat Wing Teacup , a 490ml ceramic statement piece perfect for your dark aesthetic home decor. Elevate Your Daily Ritual. Turn your morning brew or evening tea into a moment of dark elegance. The Midnight Striped Bat Wing Teacup is more than a vessel; it is a centerpiece for your sanctuary. Designed for those who find beauty in the eerie, this teacup features timeless monochrome stripes reminiscent of classic Burton-Esque aesthetics. The sculptured handle, shaped like a spread bat wing, offers a comfortable grip while adding a dramatic silhouette to your coffee table or altar. Whether you are curling up with a grim novel or hosting a midnight gathering, this oversized cup holds a generous 490ml—perfect for those who prefer their tea deep and their conversations long. Why It Belong in Your Lair: Sculpted for Style: The unique bat-wing handle is ergonomically designed and undeniably photogenic—guaranteed to send your socials into a spin. Generous Capacity: At 490ml (approx. 16.5 oz), it’s larger than a standard cup, ideal for heavy coffee drinkers or herbal tea infusions. Timeless Aesthetic: The high-contrast black and white stripes fit perfectly into any Gothic, Dark Academia, or Witchy home décor theme. The Details: Material: High-quality glazed ceramic. Capacity: 490ml. Care Rituals: To preserve the life of the bat wing and glaze, this item is Hand Wash Only . Not suitable for microwave use. Part of our curated Gothic Kitchen collection. Make every sip a statement.",14.0,,USD,True,4,False,house,none,1,https://img1.wsimg.com/isteam/ip/021f10ea-1ee0-4cd6-9752-37761b8edd13/ols/Gothic%20Striped%20Bat%20Wing%20Halloween%20Teacup%20Model.png;https://img1.wsimg.com/isteam/ip/021f10ea-1ee0-4cd6-9752-37761b8edd13/ols/Gothic%20Striped%20Bat%20Wing%20Halloween%20Teacup%20Hand.png;https://img1.wsimg.com/isteam/ip/021f10ea-1ee0-4cd6-9752-37761b8edd13/ols/Striped%20Bat%20Wing%20Halloweeen%20teacup_img1.webp;https://img1.wsimg.com/isteam/ip/021f10ea-1ee0-4cd6-9752-37761b8edd13/ols/Gothic%20Striped%20Bat%20Wing%20Halloween%20Teacup%20on%20cl.png
