SKU,Name,Alternate Id,Options,Suggested Category,Price,Sale Price,Currency,QTY,Hidden,Image URL,Description
BLC-SWN-WHS-GLS,The Black Swan – Noir Whiskey Tumbler Set,black-swan-whiskey-glass-set-of-4,,Drinkware,$50.00 ,$30.00 ,USD,2,False,https://img1.wsimg.com/isteam/ip/021f10ea-1ee0-4cd6-9752-37761b8edd13/ols/assets_task_01k5qnjn0pfk59dh6a3apfzgaj_175850.webp;https://img1.wsimg.com/isteam/ip/021f10ea-1ee0-4cd6-9752-37761b8edd13/ols/BlackSwanOfWhiskeyGlassSetof4_img2.webp;https://img1.wsimg.com/isteam/ip/021f10ea-1ee0-4cd6-9752-37761b8edd13/ols/BlackSwanOfWhiskeyGlassSetof4_img1.webp;https://img1.wsimg.com/isteam/ip/021f10ea-1ee0-4cd6-9752-37761b8edd13/ols/BlackSwanOfWhiskeyGlassSetof4_img3.webp;https://img1.wsimg.com/isteam/ip/021f10ea-1ee0-4cd6-9752-37761b8edd13/ols/assets_task_01k5qnjn0pfk59dh6a3apfzgaj_175850.webp,"Rare. Elegant. Dangerous. Sip your spirits from a vessel as mysterious as the night itself. The Black Swan Tumbler Set transforms the ritual of a nightcap into an act of dark devotion. Crafted from sleek, high-gloss black glass, these heavy-bottomed tumblers offer a tactile experience that traditional clear glass simply cannot match. They are designed for the serious connosieur who understands that visual deprivation heightens the sense of taste. Whether you are pouring a single malt, a smoky mezcal, or a midnight negroni, the drink remains a secret until it touches your lips. Why They Belong on Your Bar Cart: The Noir Aesthetic: A bold departure from standard crystal, these glasses turn your bar cart into a statement of gothic luxury. Heavyweight Feel: Substantial in the hand, with a thick base that keeps your drink grounded. The Element of Mystery: The opaque/smoked finish obscures the liquid, making every sip a surprise. Set of Four: Perfect for hosting a small, intimate gathering of like-minded souls. The Details: Set Includes: 4 Whiskey Tumblers Capacity: Standard Double Old Fashioned size Material: Black Tinted Glass Care: Hand Wash Recommended to maintain the high-gloss finish."
MS-18-PC-STN,The Mesa Ritual Collection – 18-Piece Matte Stoneware Set,mesa-18-piece-stoneware-dinnerware-set,,Dining & Serveware,$70.00 ,$42.00 ,USD,2,False,https://img1.wsimg.com/isteam/ip/021f10ea-1ee0-4cd6-9752-37761b8edd13/ols/Matte%20black%20stoneware%20dinner%20plate%2C%20salad%20plat.png;https://img1.wsimg.com/isteam/ip/021f10ea-1ee0-4cd6-9752-37761b8edd13/ols/18%20piece%20Stoneware%20Dinnerware%20Set_img2.webp;https://img1.wsimg.com/isteam/ip/021f10ea-1ee0-4cd6-9752-37761b8edd13/ols/18%20piece%20Stoneware%20Dinnerware%20Set_img1.webp;https://img1.wsimg.com/isteam/ip/021f10ea-1ee0-4cd6-9752-37761b8edd13/ols/18%20piece%20Stoneware%20Dinnerware%20Set_img5.webp;https://img1.wsimg.com/isteam/ip/021f10ea-1ee0-4cd6-9752-37761b8edd13/ols/18%20piece%20Stoneware%20Dinnerware%20Set_img6.webp;https://img1.wsimg.com/isteam/ip/021f10ea-1ee0-4cd6-9752-37761b8edd13/ols/18%20piece%20Stoneware%20Dinnerware%20Set_img4.webp,"The Foundation of Your Feast. Dining is more than just eating; it is a ritual. Set the stage for your next gathering with The Mesa Ritual Collection , a dinnerware set designed for those who appreciate the beauty of shadows and substance. Crafted from solid, non-porous stoneware, these plates feature a sleek, low-profile silhouette and a stunning lead-free matte finish . This tactile surface absorbs the light rather than reflecting it, allowing the colors of your food to pop in dramatic contrast—perfect for the dark aesthetic home. Heavy, scratch-resistant, and built to last, this set brings an earthy, grounded energy to your table, whether you are serving a midnight supper for six or a solitary meal by candlelight. Why It Belongs on Your Table: Matte Aesthetic: The non-reflective finish offers a modern, sophisticated look that feels incredible to the touch. Modern Silhouette: Low profiles and wide rims keep your presentation clean and contemporary. Built for Real Life: Despite their elegant look, these pieces are scratch-resistant, microwave-safe, and dishwasher-safe. Complete Service: A full 18-piece set provides a cohesive look for up to 6 guests. The Details: Material: Durable Stoneware Finish: Matte Glaze (Lead-Free) Care: Microwave & Dishwasher Safe Includes: 6x Dinner Plates (10.5”) 6x Salad/Dessert Plates (8”) 6x Soup/Cereal Bowls (23oz, 5.8”)"
MRS-LBT-ART-PRN,"""Amorous Libation"" – Monster Cocktail Hour Framed Art Print by Mike Bell",amorous-libation-art-print,,Drinkware,$43.00 ,$25.80 ,USD,2,False,https://img1.wsimg.com/isteam/ip/021f10ea-1ee0-4cd6-9752-37761b8edd13/ols/Amorous%20Libation%20-%20Art%20Print_img1.webp;https://img1.wsimg.com/isteam/ip/021f10ea-1ee0-4cd6-9752-37761b8edd13/ols/Amorous%20Libation%20-%20Art%20Print_img2.webp,"Raise a Glass to Eternal Love. Cheers to the couple that was literally made for each other. ""Amorous Libation"" is a cheeky, romantic fine art print by Mike Bell that captures a quiet moment of connection between the underworld's favorite lovers. Depicting a toast shared over a mysterious glowing cocktail, this piece blends classic horror iconography with the fun, retro vibe of a tiki bar or speakeasy. It is the ultimate decor for your home bar, kitchen, or dining room. Printed on high-quality 100lb semi-gloss cover stock, the vibrant colors of the potion and the moody background pop with exceptional clarity. Why It Belongs on Your Wall: Gothic Bar Decor: The perfect backdrop for your liquor cabinet or cocktail station (looks great next to our Sepia & Smoke Coupes!). Artist Series: Officially licensed artwork by Mike Bell, celebrating the lowbrow art movement. Premium Finish: Heavy stock paper and a semi-gloss finish prevent that cheap ""poster"" glare. Hassle-Free: Arrives professionally framed in black composite with hardware attached—ready to hang instantly. The Details: Artwork Dimensions: 12"" x 18"" Finished Framed Size: 14"" x 20"" Frame Style: 1.25"" Wide Black Composite Origin: Proudly Made in the USA"
MD-FOR-CH-THR,"""Made For Each Other"" – The Bride & Monster Framed Art Print by Mike Bell",made-for-each-other-art-print,,Wall Art,$43.00 ,$25.80 ,USD,2,False,https://img1.wsimg.com/isteam/ip/021f10ea-1ee0-4cd6-9752-37761b8edd13/ols/Made%20for%20Each%20Other%20-%20Art%20Print_img2-3a7189a.webp;https://img1.wsimg.com/isteam/ip/021f10ea-1ee0-4cd6-9752-37761b8edd13/ols/Made%20for%20Each%20Other%20-%20Art%20Print_img3-9867ab4.webp;https://img1.wsimg.com/isteam/ip/021f10ea-1ee0-4cd6-9752-37761b8edd13/ols/Made%20for%20Each%20Other%20-%20Art%20Print_img4-ced5d76.webp;https://img1.wsimg.com/isteam/ip/021f10ea-1ee0-4cd6-9752-37761b8edd13/ols/Made%20for%20Each%20Other%20-%20Art%20Print_img5-879f8f6.webp,"A Love That Defies Nature. Celebrate the ultimate union of the underworld with ""Made For Each Other,"" an officially licensed fine art print by Mike Bell. This piece captures the electric connection between the Monster and his Bride—proof that there is a perfect match for everyone, even in the shadows. Rendered in Bell’s signature vibrant, lowbrow style, this artwork is a stunning tribute to classic horror romance. It is printed on heavy, semi-gloss 100lb cover stock that captures every detail of the stitches and sparks. Arriving professionally mounted in a sleek black composite frame, it makes the perfect anniversary gift for your own better half or a statement piece for a bedroom wall. Why It Belongs on Your Wall: The Original Power Couple: A tribute to the most iconic romance in horror history. Artist Series: Officially licensed artwork by Mike Bell, ensuring high-quality reproduction of the original vision. Gallery Presentation: The premium paper weight and professional framing give it a polished, high-end look. Ready to Hang: Comes fully assembled with hardware, so you can display your devotion immediately. The Details: Artwork Dimensions: 12"" x 18"" Finished Framed Size: 14"" x 20"" Frame Style: 1.25"" Wide Black Composite Origin: Proudly Made in the USA"
MLN-MNS-ART-PRN,"""Melancholy Monster"" – Framed Gothic Fine Art Print by Mike Bell",melancholy-monster-art-print,,Wall Art,$43.00 ,$25.80 ,USD,2,False,https://img1.wsimg.com/isteam/ip/021f10ea-1ee0-4cd6-9752-37761b8edd13/ols/Melancholy%20Monster%20Art%20-%20Art%20Print_img1.webp;https://img1.wsimg.com/isteam/ip/021f10ea-1ee0-4cd6-9752-37761b8edd13/ols/Melancholy%20Monster%20Art%20-%20Art%20Print_img3.webp;https://img1.wsimg.com/isteam/ip/021f10ea-1ee0-4cd6-9752-37761b8edd13/ols/Melancholy%20Monster%20Art%20-%20Art%20Print_img5.webp;https://img1.wsimg.com/isteam/ip/021f10ea-1ee0-4cd6-9752-37761b8edd13/ols/Melancholy%20Monster%20Art%20-%20Art%20Print_img2.webp,"Beauty in the Broken. Capture the soulful, misunderstood nature of the world’s most iconic creature with ""Melancholy Monster."" This officially licensed fine art print by Mike Bell moves beyond the horror to find the humanity within the beast. Rendered in Bell’s signature lowbrow-gothic style, this piece is a tribute to those who feel a little different, a little strange, and deeply feeling. Printed on heavy, gallery-grade 100lb semi-gloss cover stock, the colors are rich and durable. It arrives professionally mounted in a sleek black composite frame, ready to hang immediately in your parlor, laboratory, or bedroom. Why It Belongs on Your Wall: The Outsider Icon: A perfect piece for anyone who identifies with the ""strange and unusual."" Artist Series: Officially licensed artwork by Mike Bell, ensuring you are supporting the original artist. Premium Presentation: The heavy paper stock and professional framing elevate this from a simple poster to a piece of decor art. Instant Gratification: Arrives fully framed with hardware installed—no assembly required. The Details: Artwork Dimensions: 12"" x 18"" Finished Framed Size: 14"" x 20"" Frame Style: 1.25"" Wide Black Composite Origin: Proudly Made in the USA"
NDY-LV-ART-PRN,"""Undying Love"" – Framed Gothic Fine Art Print by Mike Bell",undying-love-art-print,,Wall Art,$43.00 ,$25.80 ,USD,2,False,https://img1.wsimg.com/isteam/ip/021f10ea-1ee0-4cd6-9752-37761b8edd13/ols/Undying%20Love_img1.webp;https://img1.wsimg.com/isteam/ip/021f10ea-1ee0-4cd6-9752-37761b8edd13/ols/Undying%20Love_img2.webp;https://img1.wsimg.com/isteam/ip/021f10ea-1ee0-4cd6-9752-37761b8edd13/ols/Undying%20Love_img3.webp;https://img1.wsimg.com/isteam/ip/021f10ea-1ee0-4cd6-9752-37761b8edd13/ols/Made%20for%20Each%20Other%20-%20Art%20Print_img5-879f8f6.webp,"A Romance That Transcends the Grave. Celebrate a devotion that lasts longer than a lifetime with ""Undying Love,"" an exclusive art print by renowned artist Mike Bell. This piece captures the essence of gothic romance—proof that true love never truly expires. Unlike standard posters, this is a gallery-quality piece. The artwork is reproduced on heavy, semi-gloss 100lb cover stock, ensuring the deep blacks and rich colors remain vibrant. It arrives professionally mounted in a sleek, 1.25-inch black composite frame, ready to hang the moment it crosses your threshold. Perfect for the bedroom, the living room, or as a wedding gift for the couple who loves the darker side of life. Why It Belongs on Your Wall: Artist Series: Officially licensed artwork by Mike Bell, supporting the creator behind the vision. Gallery Quality: Printed on thick, premium 100lb semi-gloss paper that feels substantial and looks expensive. Ready to Hang: No need to hunt for a frame; it arrives fully framed with hardware installed. Made in the USA: Both the print and the frame are proudly crafted in the United States. The Details: Artwork Dimensions: 12"" x 18"" Finished Framed Size: 14"" x 20"" Frame Style: 1.25"" Wide Black Composite Material: 100lb Semi-Gloss Cover Stock"
CLM-CRY-CND-WTH,The Amethyst Spire – Calming Ritual Candle with Hidden Crystal,calming-crystal-candle-with-rough-amethyst,,Candles & Scent,$15.00 ,$9.00 ,USD,2,False,https://img1.wsimg.com/isteam/ip/021f10ea-1ee0-4cd6-9752-37761b8edd13/ols/Calming%20Purple_img1.jpeg;https://img1.wsimg.com/isteam/ip/021f10ea-1ee0-4cd6-9752-37761b8edd13/ols/Calming%20Purple_img6.jpeg;https://img1.wsimg.com/isteam/ip/021f10ea-1ee0-4cd6-9752-37761b8edd13/ols/Calming%20Purple_img3.jpeg;https://img1.wsimg.com/isteam/ip/021f10ea-1ee0-4cd6-9752-37761b8edd13/ols/Calming%20Purple_img2.jpeg;https://img1.wsimg.com/isteam/ip/021f10ea-1ee0-4cd6-9752-37761b8edd13/ols/Calming%20Purple_img4.jpeg;https://img1.wsimg.com/isteam/ip/021f10ea-1ee0-4cd6-9752-37761b8edd13/ols/Calming%20Purple_img5.jpeg,"Ignite the Peace Within. Silence the noise of the outside world with The Amethyst Spire . Shaped like a raw quartz point and cast in a deep, mystical purple, this candle is a physical anchor for rituals of tranquility and intuition. As the unscented violet wax melts away over 30 hours, it slowly unveils a rough Amethyst crystal buried at the base. Amethyst is the stone of the Third Eye, celebrated for its ability to soothe anxiety, promote restful sleep, and heighten psychic awareness. Burn it during meditation or before bed to set a tone of serenity, then keep the unearthed stone as a permanent reminder of your inner calm. Why It Belongs on Your Altar: Magic in Motion: Watch the candle transform from a wax tower into a lasting crystal artifact. Third Eye Activation: The purple hue and Amethyst stone align perfectly with intuition and dream work. A Gift of Serenity: The perfect offering for the stressed witch or the dreamer in your life. Pure & Clean: Unscented wax allows you to focus on your intent without distraction. The Details: Shape: Purple Crystal Point Hidden Stone: Rough Amethyst Burn Time: Approx. 30 Hours Material: Unscented Paraffin Wax Dimensions: Approx. 5.5"" Tall"
GTH-HLL-BLC-SPD,The Weaver’s Teacup – Thorny Handle Ceramic Mug,gothic-halloween-black-spider-teacup,,Drinkware,$12.00 ,$7.20 ,USD,4,False,https://img1.wsimg.com/isteam/ip/021f10ea-1ee0-4cd6-9752-37761b8edd13/ols/Halloween%20Spider%20teacup_img1.jpeg;https://img1.wsimg.com/isteam/ip/021f10ea-1ee0-4cd6-9752-37761b8edd13/ols/Halloween%20Spider%20teacup_img5.jpeg;https://img1.wsimg.com/isteam/ip/021f10ea-1ee0-4cd6-9752-37761b8edd13/ols/Halloween%20Spider%20Teacup_img3.webp;https://img1.wsimg.com/isteam/ip/021f10ea-1ee0-4cd6-9752-37761b8edd13/ols/Halloween%20Spider%20Teacup_img2.webp;https://img1.wsimg.com/isteam/ip/021f10ea-1ee0-4cd6-9752-37761b8edd13/ols/Halloween%20Spider%20Teacup_img4.webp;https://img1.wsimg.com/isteam/ip/021f10ea-1ee0-4cd6-9752-37761b8edd13/ols/Halloween%20Spider%20teacup_img6.jpeg,"Sip Your Venom in Style. Embrace the elegance of the arachnid with The Weaver’s Teacup . This isn't your grandmother's fine China—unless your grandmother was a hedge witch. Cast in midnight-black ceramic, this vessel features a handle sculpted to resemble a twisted, thorny vine, reminding you that beauty often has a bite. A delicate spider accent creeps along the side, keeping watch over your morning brew or evening elixir. With a generous 400ml capacity, it holds enough tea (or coffee) to keep you weaving your webs all day long. Why It Belongs in Your Cupboard: Tactile Design: The sculpted ""thorny"" handle offers a unique grip that feels satisfyingly dangerous. The Weaver's Symbol: The spider represents creativity, patience, and destiny—perfect energy for your morning routine. Dark Elegance: A stunning addition to any gothic tea party, book club, or solo ritual. Generous Size: Holds 400ml (approx. 13.5 oz), bridging the gap between a dainty teacup and a substantial mug. The Details: Capacity: 400ml Material: Black Glazed Ceramic Care: Hand Wash Only (To protect the delicate handle and print). Do not microwave."
GTH-STR-BAT-WNG,The Midnight Striped Bat Wing Teacup – Gothic Statement Mug (490ml),gothic-striped-bat-wing-halloween-teacup,,Drinkware,$14.00 ,$8.40 ,USD,4,False,https://img1.wsimg.com/isteam/ip/021f10ea-1ee0-4cd6-9752-37761b8edd13/ols/Gothic%20Striped%20Bat%20Wing%20Halloween%20Teacup%20Model.png;https://img1.wsimg.com/isteam/ip/021f10ea-1ee0-4cd6-9752-37761b8edd13/ols/Gothic%20Striped%20Bat%20Wing%20Halloween%20Teacup%20Hand.png;https://img1.wsimg.com/isteam/ip/021f10ea-1ee0-4cd6-9752-37761b8edd13/ols/Striped%20Bat%20Wing%20Halloweeen%20teacup_img1.webp;https://img1.wsimg.com/isteam/ip/021f10ea-1ee0-4cd6-9752-37761b8edd13/ols/Gothic%20Striped%20Bat%20Wing%20Halloween%20Teacup%20on%20cl.png,"Sip in gothic style with the Midnight Striped Bat Wing Teacup , a 490ml ceramic statement piece perfect for your dark aesthetic home decor. Elevate Your Daily Ritual. Turn your morning brew or evening tea into a moment of dark elegance. The Midnight Striped Bat Wing Teacup is more than a vessel; it is a centerpiece for your sanctuary. Designed for those who find beauty in the eerie, this teacup features timeless monochrome stripes reminiscent of classic Burton-Esque aesthetics. The sculptured handle, shaped like a spread bat wing, offers a comfortable grip while adding a dramatic silhouette to your coffee table or altar. Whether you are curling up with a grim novel or hosting a midnight gathering, this oversized cup holds a generous 490ml—perfect for those who prefer their tea deep and their conversations long. Why It Belong in Your Lair: Sculpted for Style: The unique bat-wing handle is ergonomically designed and undeniably photogenic—guaranteed to send your socials into a spin. Generous Capacity: At 490ml (approx. 16.5 oz), it’s larger than a standard cup, ideal for heavy coffee drinkers or herbal tea infusions. Timeless Aesthetic: The high-contrast black and white stripes fit perfectly into any Gothic, Dark Academia, or Witchy home décor theme. The Details: Material: High-quality glazed ceramic. Capacity: 490ml. Care Rituals: To preserve the life of the bat wing and glaze, this item is Hand Wash Only . Not suitable for microwave use. Part of our curated Gothic Kitchen collection. Make every sip a statement."
PRT-CRY-CND-WTH,The Obsidian Tower – Protection Ritual Candle with Hidden Crystal,protection-crystal-candle-with-rough-black-obsidian,,Dining & Serveware,$15.00 ,$9.00 ,USD,4,False,https://img1.wsimg.com/isteam/ip/021f10ea-1ee0-4cd6-9752-37761b8edd13/ols/Protection%20Crystal%20Candle%20with%20Rough%20-cab8152.webp;https://img1.wsimg.com/isteam/ip/021f10ea-1ee0-4cd6-9752-37761b8edd13/ols/Protection%20Crystal%20Candle%20with%20Rough%20Black%20Ob.webp;https://img1.wsimg.com/isteam/ip/021f10ea-1ee0-4cd6-9752-37761b8edd13/ols/Protection%20Crystal%20Candle%20with%20Rough%20Black%20Ob.webp;https://img1.wsimg.com/isteam/ip/021f10ea-1ee0-4cd6-9752-37761b8edd13/ols/Protection%20Crystal%20Candle%20with%20Rough%20Black%20Ob.webp;https://img1.wsimg.com/isteam/ip/021f10ea-1ee0-4cd6-9752-37761b8edd13/ols/Protection%20Crystal%20Candle%20with%20Rough%20Black%20Ob.webp;https://img1.wsimg.com/isteam/ip/021f10ea-1ee0-4cd6-9752-37761b8edd13/ols/Protection%20Crystal%20Candle%20with%20Rough%20Black%20Ob.webp,"Burn the Wax, Reveal the Stone. Fortify your sacred space with The Obsidian Tower , a candle designed for banishing negativity and reclaiming your power. Molded into the shape of a jagged black crystal point, this candle serves as a striking altar piece even before it is lit. As the unscented black wax melts away over 30 hours, it slowly reveals a rough Black Obsidian stone hidden at the base. Obsidian is revered in the craft as a powerful psychic shield, known for absorbing negative energies and cutting through illusions. Once the flame has extinguished, you are left with a charged crystal talisman to keep as a guardian of your peace. Why It Belong on Your Altar: Two-in-One Magic: A ritual candle that transforms into a permanent crystal keepsake. Symbol of Strength: The tower shape represents stability and grounding, while the black color absorbs unwanted vibes. Ritual Focus: Use the burn time to meditate on boundaries and protection as the stone is unearthed. Unscented: Perfect for those sensitive to fragrance or for layering with your own ritual oils. The Details: Shape: Black Crystal Point Hidden Stone: Rough Black Obsidian Burn Time: Approx. 30 Hours Material: Unscented Paraffin Wax Dimensions: Approx. 5.5"" Tall"
