Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Age group (product.metafields.shopify.age-group),Color (product.metafields.shopify.color-pattern),Fabric (product.metafields.shopify.fabric),Neckline (product.metafields.shopify.neckline),Sleeve length type (product.metafields.shopify.sleeve-length-type),Target gender (product.metafields.shopify.target-gender),Top length type (product.metafields.shopify.top-length-type),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
charmed-and-dark-signature-gothic-tee-unisex-alternative-graphic-shirt,Charmed and Dark Signature Gothic Tee | Unisex Alternative Graphic Shirt,"<p><span>Step into the shadows with the <strong>Charmed and Dark Signature Tee</strong> — where luxury meets gothic edge. Designed for those who live unapologetically in the dark, this premium cotton t-shirt blends comfort, versatility, and striking design.</span></p>
<p><span>Featuring our exclusive <strong>Charmed and Dark emblem</strong> in ornate gothic typography, this shirt is more than clothing — it’s a statement piece. Perfect for pairing with jeans, layering under leather, or styling with skirts and boots, this tee is made for everyday wear with a bold alternative twist.</span></p>
<p><span>Whether you’re headed to a concert, a night out, or simply living the gothic lifestyle, the <strong>Charmed and Dark tee</strong> delivers the perfect balance of mystery and sophistication.</span></p>
<p><span><strong>Key Features:</strong></span></p>
<p> </p>
<ul>
<li>🖤 Premium-quality cotton for comfort and durability<br> </li>
<li>🖤 Exclusive Charmed and Dark gothic crest design<br> </li>
<li>🖤 Unisex fit, available in multiple sizes<br> </li>
<li>🖤 Perfect for alternative fashion, gothic streetwear, and occult-inspired looks<br> </li>
<li>🖤 Easy to style — dress it up or down<br> </li>
</ul>
<p> </p>
<p><span><strong>Why You’ll Love It:</strong><br>This isn’t just a t-shirt — it’s a symbol of <strong>dark luxury</strong>. With its bold gothic logo and versatile cut, it seamlessly transitions from casual wear to statement outfit. Join the Charmed and Dark movement and wear your shadows with pride.</span></p>",Charmed & Dark,Apparel & Accessories > Clothing > Clothing Tops > T-Shirts,,,true,Title,Default Title,,,,,,,,,0.0,shopify,deny,manual,29.99,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0861/2079/2098/files/Screenshot2.png?v=1774358158,1,Black unisex gothic t-shirt with ornate Charmed and Dark emblem in gothic typography on chest,false,Charmed & Dark Signature Tee | Gothic Graphic Shirt,Gothic graphic tee featuring the Charmed & Dark emblem in ornate typography. Premium cotton. Unisex alternative streetwear for the unapologetically dark.,adults,black,cotton,round,short,unisex,medium,,lb,,,active
charmed-and-dark-signature-gothic-tee-unisex-alternative-graphic-shirt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0861/2079/2098/files/Screenshot1.png?v=1774357841,2,Black unisex gothic t-shirt with ornate Charmed and Dark emblem in gothic typography on chest,,,,,,,,,,,,,,,
die-cut-stickers-1,Charmed & Dark Gothic Die-Cut Stickers,"Add your own design of any shape and create uniquely personalised die-cut stickers. These blank stickers are great for both indoor and outdoor use as they are made with thick, resistant, laminate vinyl material. The easy-peel backing makes for great ease of use, while the matte finish helps your designs look sleek on any surface.<br><p>.: Material: water-resistant vinyl<br>.: Suitable for indoor and outdoor use<br>.: Easy peel backing<br>.: Matte finish<br>.: Please note: Small details close to each other will most likely be cut out as one shape</p>",Printify,,Paper products,"Halloween, Home & Living, Magnets & Stickers, Stationery, Stickers, TikTok, Valentine's Day Picks",true,Surface,White,,Shape,Die-Cut,,Size,"5"" × 5""",,'10386068178086290136,99.7903214,,deny,manual,6.33,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0861/2079/2098/files/16201391444419955087_1200.jpg?v=1774318834,1,Charmed and Dark gothic die-cut sticker with dark alternative design on white background,false,Charmed & Dark Gothic Die-Cut Stickers | Dark Aesthetic,Gothic die-cut stickers with Charmed & Dark designs. Durable laminate vinyl for indoor and outdoor use. Dark alternative aesthetic.,,,,,,,,https://cdn.shopify.com/s/files/1/0861/2079/2098/files/16201391444419955087_1200.jpg?v=1774318834,lb,,3.80,active
die-cut-stickers-1,,,,,,,,,White,,,Die-Cut,,,"6"" × 6""",,'17127122678205437047,99.7903214,,deny,manual,7.20,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0861/2079/2098/files/13802083111472478777_1200.jpg?v=1774318848,2,Charmed and Dark gothic die-cut sticker with dark alternative design on white background,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0861/2079/2098/files/13802083111472478777_1200.jpg?v=1774318848,lb,,4.32,
die-cut-stickers-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0861/2079/2098/files/6555678009289553196_1200.jpg?v=1774318851,3,Charmed and Dark gothic die-cut sticker with dark alternative design on white background,,,,,,,,,,,,,,,
die-cut-stickers-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0861/2079/2098/files/6072909022725573481_1200.jpg?v=1774318853,4,Charmed and Dark gothic die-cut sticker with dark alternative design on white background,,,,,,,,,,,,,,,
die-cut-stickers-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0861/2079/2098/files/11929706516469189760_1200.jpg?v=1774318862,5,Charmed and Dark gothic die-cut sticker with dark alternative design on white background,,,,,,,,,,,,,,,
die-cut-stickers-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0861/2079/2098/files/12531102251191119735_1200.jpg?v=1774318865,6,Charmed and Dark gothic die-cut sticker with dark alternative design on white background,,,,,,,,,,,,,,,
die-cut-stickers,Charmed & Dark Gothic Die-Cut Stickers,"Add your own design of any shape and create uniquely personalised die-cut stickers. These blank stickers are great for both indoor and outdoor use as they are made with thick, resistant, laminate vinyl material. The easy-peel backing makes for great ease of use, while the matte finish helps your designs look sleek on any surface.<br><p>.: Material: water-resistant vinyl<br>.: Suitable for indoor and outdoor use<br>.: Easy peel backing<br>.: Matte finish<br>.: Please note: Small details close to each other will most likely be cut out as one shape</p>",Printify,,Paper products,"Halloween, Home & Living, Magnets & Stickers, Stationery, Stickers, TikTok, Valentine's Day Picks",true,Surface,White,,Shape,Die-Cut,,Size,"2"" × 2""",,'15157461259947944433,99.7903214,,deny,manual,4.58,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0861/2079/2098/files/1772884565540357620_1200.jpg?v=1774318765,1,Charmed and Dark gothic die-cut sticker with dark alternative design on white background,false,Charmed & Dark Gothic Die-Cut Stickers | Dark Aesthetic,Gothic die-cut stickers with Charmed & Dark designs. Durable laminate vinyl for indoor and outdoor use. Dark alternative aesthetic.,,,,,,,,https://cdn.shopify.com/s/files/1/0861/2079/2098/files/1772884565540357620_1200.jpg?v=1774318765,lb,,2.75,active
die-cut-stickers,,,,,,,,,White,,,Die-Cut,,,"3"" × 3""",,'21828379997794984401,99.7903214,,deny,manual,5.16,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0861/2079/2098/files/5778649077754259932_1200.jpg?v=1774318768,2,Charmed and Dark gothic die-cut sticker with dark alternative design on white background,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0861/2079/2098/files/5778649077754259932_1200.jpg?v=1774318768,lb,,3.10,
